Fid;NAME;PROVINCIA;LOCALITA;ALTITUDINE;NOME_SCIENTIFICO;NOME_VOLGARE;ALTEZZA;SCHEDA;gx_media_l;LATITUDINE;LONGITUDINE
66;Piano di Sorrento;Napoli;Villa Fondi;60;Quercus ilex;Leccio;11;http://agricoltura.regione.campania.it/foreste/monum/scheda_64.html;https://lh5.googleusercontent.com/RmavjpOgPmxuyMaDvzuH5iKcHx5qKC82ER1qObbLXmwrbqZaKkSTSTjZ4cJq_GgkGbbbZh9rX1kmNIjNYHPk37J1udGHkUyoHYaVVolSASiDRlbzuAP84MEFSxmQqKelmA;40,6372;14,4013
67;Piano di Sorrento;Napoli;Cimitero;159;Cupressus sempervirens;Cipresso;10;http://agricoltura.regione.campania.it/foreste/monum/scheda_65.html;https://lh6.googleusercontent.com/fX-sM6xKloF6LTAsHdDIsapyKjFFtErCnCmyzrOk53P372mGeBwNYF3buZom-hvisHTYxUqbiXQLc8bT7hmXzhJwkZVLWDkjBOZLp4mEes4pG_TD0aJA7vU5q0771Z_fag;40,6291;14,4194
68;Salerno - loc. Ogliara;Salerno;Ogliara;16;Platanus acerifolia;Platano;4;http://agricoltura.regione.campania.it/foreste/monum/scheda_66.html;https://lh5.googleusercontent.com/4jM14hu4niPUN_86QoBcpAMPdafgRAc91psmVUWpP-dN-c96Td-OWQIaSpujhiOfviV_Pl4QE8GnnahNEtTlGyk_06I7jQGKpJJWhoiLgjvC2OJ_SqGa7iwPbS1pgAcqfA;40,706;14,8015
69;Salerno - Villa comunale;Salerno;Via Roma - villa comunale;4;Pinus halepensis;Pino di Aleppo;16;http://agricoltura.regione.campania.it/foreste/monum/scheda_67.html;https://lh5.googleusercontent.com/lTSFXQfZGNaP-lCHEUDRCWjteUmSim0-HqToTCKBHFIv4IgrkN4nNAQqABBZa-sf56ee8OSO6dZiK8yYYxIN2gblhV3DK5rMobA1wZxy5QKeJOunSVOB7TfpDxstFaUm;40,678;14,7536
70;Salerno - Villa comunale;Salerno;Via Roma - villa comunale;4;Pinus halepensis;Pino di Aleppo;16;http://agricoltura.regione.campania.it/foreste/monum/scheda_68.html;https://lh6.googleusercontent.com/epM2I-0D80BSUVmbToDtxtUn-53NrYOpdzcDE64mOlMiVAsK99FJud7hoqYo6nscpR4w6WjFsKrtqv0gzdSvCB-y9fLLPSi9ud5VILBECJvNvXKjXN0FK-lOisWqGD51VA;40,6788;14,7536
71;Summonte;Avellino;Centro Urbano;738;Tilia vulgaris;Tiglio;6;http://agricoltura.regione.campania.it/foreste/monum/scheda_69.html;https://lh6.googleusercontent.com/cY03GuODy9Kwkb5uCS-bk7A_RHM6FXgdE7K1jXuOg0VGKdI8QW0JGaQHnvp1-le-LKzjUAx1p_oO-dAL0p5B2nbbh9Buc6ukb3RL2f9doWSgSaRWXSfcBUpJapPFFfMx-w;40,9488;14,7452
72;Bonito;Avellino;Versure del bosco;326;Quercus cerris;Cerro;22;http://agricoltura.regione.campania.it/foreste/monum/scheda_70.html;https://lh5.googleusercontent.com/8y9dIfv6yO-UUs7Y5jj1Ka6_ge6adv8hb0GehTl8FmgGAAuQm21KhBmgbWlybSpjkLGd_eRjS1AGllhTUq416SG5azs5Lh4pPs8wHBr6bLiS1px5tDTwLW9Vx2Cxbkc;41,1861;15,0147
73;Bonito;Avellino;Madonna della Valle;370;Cupressus sempervirens;Cipresso;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_71.html;https://lh4.googleusercontent.com/lDQIsQ9FzV1cDxTw51xt4l2ywxcDiDj4ZbTdLrOCSy2KhgRPRUyx0i1lbYwBd2ld8zcPaHJE5zdz8VrUjyii52vjzqDhwMFuCB3Q54ZjC82_SHi5eEkEotptlzljRRJD;41,1905;15,0163
74;Bonito;Avellino;Via Provinciale;496;Cupressus sempervirens;Cipresso;15;http://agricoltura.regione.campania.it/foreste/monum/scheda_72.html;https://lh6.googleusercontent.com/gHeoPt-N3iIDL8555kREDPlTAY0njguUBLZNoungwIEwMgPL_NPT7nf6gtVpz2lmQLUgh_XUJ4EzOm-sSQIQhkvjy6xpTCmBuyOcFnUJBFFuDW6lpfOjZ_Mh8twdh-Ij;41,0943;14,9986
75;Bonito;Avellino;Villa Comunale;515;Cupressus sempervirens;Cipresso;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_73.html;https://lh3.googleusercontent.com/CgBgHm1vrYkBG8iMZKOB8eTBAbiE81-3NcvUz9Ges8_jM1TBoDJ0bVm7CJWpEO_C35qfonL6qbjegMFFJWEjdTlJGZ0zJ-HBb_DJlUCHsw36rWIyX3fIGZ79eLPUp-71VQ;41,1675;15,0008
